dimension,model,template_id,persona_id,repeat_idx,brand,rank,sentiment,attributes,is_target,is_competitor
rec,sonnet,rec_3,10,1,Substack,26,0.8,"[""offers signed limited runs""]",f,f
rec,sonnet,rec_3,10,1,AbeBooks,27,0.8,"[""source for serious signed copies""]",f,f
rec,sonnet,rec_3,10,1,Heritage Auctions,28,0.8,"[""source for serious signed copies""]",f,f
rec,sonnet,rec_3,10,1,RareBooksHub,29,0.8,"[""source for serious signed copies""]",f,f
versus,sonnet,versus_goodnight_moon,6,0,Goodnight Moon,1,0.85,"[""literary"", ""rhythmic"", ""incantatory"", ""sophisticated"", ""poetic"", ""emotionally complex"", ""durable"", ""rewarding""]",f,t
versus,sonnet,versus_goodnight_moon,6,0,The Very Hungry Caterpillar,2,0.7,"[""educational"", ""distinctive artwork"", ""engaging"", ""clever construction"", ""fragile hardcover edition"", ""better as board book""]",t,f
versus,sonnet,versus_goodnight_moon,6,0,Harper,,0.7,"[""handsome"", ""faithful reproduction"", ""standard edition quality""]",f,f
versus,opus,versus_the_gruffalo,8,0,The Gruffalo,1,0.85,"[""modern classic"", ""standard rectangular pages"", ""no die-cuts"", ""detailed illustrations"", ""rich scenes"", ""colored-pencil and watercolor"", ""rhyming couplets"", ""narrative arc"", ""durable"", ""long re-readability""]",f,t
versus,opus,versus_the_gruffalo,8,0,The Very Hungry Caterpillar,2,0.7,"[""iconic"", ""die-cut pages"", ""varied page widths"", ""hand-painted tissue paper collage"", ""abstract"", ""bold colors"", ""high contrast"", ""tactile"", ""weak points at cuts"", ""vulnerable to tearing"", ""outgrown quickly""]",t,f
versus,opus,versus_the_gruffalo,8,0,Julia Donaldson,1,0.85,"[""skilled rhyming"", ""narrative arc"", ""suspense"", ""repeated refrains"", ""made for reading aloud""]",f,f
versus,opus,versus_the_gruffalo,8,0,Axel Scheffler,1,0.8,"[""highly detailed illustrations"", ""colored-pencil and watercolor technique"", ""visual jokes"", ""character expressions"", ""background details""]",f,f
versus,opus,versus_the_gruffalo,8,0,Eric Carle,2,0.8,"[""hand-painted tissue paper collage"", ""iconic style"", ""artistically distinctive"", ""bold"", ""abstract"", ""high contrast"", ""saturated colors""]",f,f
versus,opus,versus_the_gruffalo,8,0,Macmillan,,0.6,"[""publisher"", ""heavier paper"", ""glossier paper"", ""good color saturation""]",f,f
rec,opus,rec_3,7,0,Usborne,,1.0,"[""touchy-feely"", ""quality""]",f,f
perception,opus,perception_3,9,0,The Very Hungry Caterpillar,1,0.82,"[""durable"", ""iconic"", ""educational"", ""interactive"", ""engaging"", ""sturdy"", ""resilient"", ""beautiful"", ""simple"", ""classic""]",t,f
perception,opus,perception_3,9,0,Eric Carle,1,0.88,"[""iconic"", ""beautiful"", ""hand-painted"", ""durable"", ""classic""]",f,f
perception,opus,perception_3,9,0,Target,,-0.65,"[""overpriced"", ""bundles"", ""paying for the name""]",f,f
versus,haiku,versus_goodnight_moon,6,0,The Very Hungry Caterpillar,1,0.8,"[""classic"", ""rewarding long-term gift"", ""transformation and growth"", ""narrative momentum"", ""educational"", ""iconic die-cut holes"", ""collage illustrations"", ""vivid"", ""durable"", ""broad age range"", ""active reading""]",t,f
versus,haiku,versus_goodnight_moon,6,0,Goodnight Moon,2,0.6,"[""classic"", ""beautifully written"", ""rhythmic prose"", ""functional"", ""soothing"", ""bedtime-focused"", ""soft and muted illustrations"", ""narrow scope"", ""outgrows quickly"", ""calm evenings""]",f,t
rec,opus,rec_1,10,0,Follett,1,0.9,"[""library supplier"", ""reinforced bindings"", ""sewn signatures"", ""stronger boards""]",f,f
rec,opus,rec_1,10,0,Baker & Taylor,1,0.9,"[""book distributor"", ""library supplier"", ""reinforced bindings"", ""sewn signatures"", ""stronger boards""]",f,f
rec,opus,rec_1,10,0,Junior Library Guild,1,0.9,"[""book selection service"", ""library supplier"", ""reinforced bindings""]",f,f
rec,opus,rec_1,10,0,Penguin Random House,2,0.7,"[""book publisher"", ""offers library binding""]",f,f
rec,opus,rec_1,10,0,HarperCollins,2,0.7,"[""book publisher"", ""offers library binding""]",f,f
rec,opus,rec_1,10,0,Houghton Mifflin Harcourt,2,0.7,"[""book publisher"", ""offers library binding""]",f,f
rec,opus,rec_1,10,0,Mylar,3,0.85,"[""protective material"", ""jacket covers"", ""extends durability"", ""inexpensive"", ""easy to apply""]",f,f
rec,opus,rec_1,10,0,Amazon,,-0.4,"[""online retailer"", ""limited availability of library binding editions""]",f,f
rec,haiku,rec_3,6,0,Candlewick Press,,1.0,"[""quality hardcover editions"", ""sustainability-conscious""]",f,f
rec,haiku,rec_3,6,0,Chronicle,,1.0,"[""quality hardcover editions"", ""sustainability-conscious""]",f,f
rec,haiku,rec_3,6,0,Penguin Classics Children's,,1.0,"[""quality hardcover editions"", ""sustainability-conscious""]",f,f
rec,haiku,rec_1,6,0,Gecko Press,1,1.0,"[""exceptional quality production"", ""environmental responsibility"", ""quality paper"", ""beautiful printing""]",f,f
rec,haiku,rec_1,6,0,Chronicle Books,2,0.9,"[""sustainability commitment"", ""FSC paper""]",f,f
rec,haiku,rec_1,6,0,Corraini,3,0.9,"[""Italian publisher"", ""stunning design"", ""production quality""]",f,f
rec,haiku,rec_1,6,0,Phaidon Press,4,0.85,"[""excellent children's imprints"", ""premium finishes""]",f,f
rec,haiku,rec_1,6,0,Abrams Books for Young Readers,5,0.85,"[""consistently high-quality"", ""hardcovers""]",f,f
rec,sonnet,rec_3,7,2,Guess How Much I Love You,6,0.8,[],f,f
rec,haiku,rec_1,6,0,Ezra Jack Keats,,0.95,"[""iconic"", ""collage illustrations"", ""timeless""]",f,f
rec,haiku,rec_1,6,0,David Wiesner,,0.95,"[""wordless storytelling"", ""visually stunning""]",f,f
rec,haiku,rec_1,6,0,Lois Ehlert,,0.95,"[""natural art"", ""gorgeous""]",f,f
rec,haiku,rec_1,6,0,Hervé Tullet,,0.9,"[""interactive"", ""delightful""]",f,f
versus,haiku,versus_where_the_wild_things_are,8,0,The Very Hungry Caterpillar,1,0.92,"[""repetitive and rhythmic"", ""holds attention"", ""tactile engagement"", ""die-cut holes"", ""progressively larger pages"", ""suitable for small hands"", ""clear cause-and-effect"", ""satisfying"", ""easy to grasp"", ""bold brilliant colors"", ""mesmerizing"", ""immediately engaging"", ""provides interaction opportunities""]",t,f
versus,haiku,versus_where_the_wild_things_are,8,0,Where the Wild Things Are,2,0.65,"[""wonderful"", ""emotionally complex"", ""addresses anger and abandonment themes"", ""requires emotional maturity"", ""better suited for 4+ years"", ""demands imaginative stamina"", ""denser text"", ""emphasizes listening over interaction"", ""grows in appeal over time""]",f,t
rec,opus,rec_1,7,2,Julia Donaldson,1,0.95,"[""prolific"", ""reliable"", ""versatile"", ""consistent-quality""]",f,f
rec,opus,rec_1,7,2,Eric Carle,2,0.95,"[""classic"", ""tactile"", ""interactive"", ""infant-friendly""]",f,f
rec,opus,rec_1,7,2,Judith Kerr,3,0.9,"[""classic"", ""ubiquitous"", ""durable"", ""reliable""]",f,f
rec,opus,rec_1,7,2,Maurice Sendak,4,0.9,"[""classic"", ""timeless"", ""growth-spanning"", ""versatile""]",f,f
rec,opus,rec_1,7,2,Michael Rosen,5,0.9,"[""interactive"", ""engaging"", ""read-aloud-friendly"", ""entertaining""]",f,f
rec,opus,rec_1,7,2,Janet & Allan Ahlberg,6,0.85,"[""classic"", ""interactive"", ""versatile"", ""multi-generational""]",f,f
rec,opus,rec_1,7,2,Martin Waddell,7,0.85,"[""calming"", ""bedtime-suitable"", ""soothing"", ""heartwarming""]",f,f
rec,opus,rec_1,7,2,Margaret Wise Brown,8,0.85,"[""classic"", ""calming"", ""bedtime-suitable"", ""gentle""]",f,f
rec,opus,rec_1,7,2,Rod Campbell,9,0.8,"[""interactive"", ""tactile"", ""lift-the-flap"", ""durable""]",f,f
rec,opus,rec_1,7,2,Fiona Watt,10,0.8,"[""tactile"", ""interactive"", ""sensory"", ""well-made""]",f,f
rec,opus,rec_1,7,2,David McKee,11,0.75,"[""age-appropriate"", ""engaging"", ""character-driven"", ""imaginative""]",f,f
rec,opus,rec_1,7,2,Sam McBratney,12,0.75,"[""sweet"", ""bedtime-suitable"", ""emotional"", ""heartwarming""]",f,f
rec,opus,rec_1,7,2,Jill Murphy,13,0.75,"[""bedtime-suitable"", ""calming"", ""cozy"", ""character-driven""]",f,f
rec,opus,rec_1,7,2,Eric Hill,14,0.75,"[""interactive"", ""lift-the-flap"", ""engaging"", ""playful""]",f,f
rec,opus,rec_1,7,2,Lynley Dodd,15,0.7,"[""age-appropriate"", ""character-driven"", ""entertaining"", ""rhythmic""]",f,f
rec,opus,rec_1,7,2,Helen Nicoll,16,0.7,"[""character-driven"", ""classic"", ""whimsical"", ""age-appropriate""]",f,f
rec,opus,rec_1,7,2,NCT,17,0.8,"[""affordable"", ""community-based"", ""bargain-friendly"", ""curated""]",f,f
rec,sonnet,rec_1,10,1,Turtleback Books,1,0.9,"[""gold-standard"", ""library binding publisher"", ""reinforced binding""]",f,f
rec,sonnet,rec_1,10,1,Bound to Stay Bound,2,0.9,"[""gold-standard"", ""library binding publisher"", ""reinforced binding""]",f,f
rec,sonnet,rec_1,10,1,School & Library,3,0.5,"[""reinforced editions"", ""available on Amazon""]",f,f
rec,sonnet,rec_1,10,1,Amazon,,0.2,"[""retailer"", ""search platform""]",f,f
rec,opus,rec_3,10,2,Maurice Sendak,1,0.9,"[""foundational"", ""scarce"", ""premium-priced""]",f,f
rec,opus,rec_3,10,2,Harper & Row,2,0.8,"[""vintage-publisher"", ""premium-first-editions""]",f,f
rec,opus,rec_3,10,2,Eric Carle,3,0.85,"[""highly-collectible"", ""actively-signing""]",f,f
rec,opus,rec_3,10,2,World Publishing Company,4,0.8,"[""first-edition-publisher"", ""vintage""]",f,f
rec,opus,rec_3,10,2,Chris Van Allsburg,5,0.85,"[""caldecott-winner"", ""rare-signatures""]",f,f
rec,opus,rec_3,10,2,Houghton Mifflin,6,0.8,"[""premium-publisher"", ""caldecott-associated""]",f,f
rec,opus,rec_3,10,2,William Steig,7,0.8,"[""caldecott-winner"", ""well-aged""]",f,f
rec,opus,rec_3,10,2,Jon Klassen,8,0.9,"[""contemporary"", ""actively-signing"", ""holy-grail"", ""appreciating""]",f,f
rec,opus,rec_3,10,2,Candlewick,9,0.8,"[""contemporary-publisher"", ""accessible"", ""appreciating""]",f,f
rec,opus,rec_3,10,2,Mac Barnett,10,0.85,"[""contemporary-author"", ""dual-signed-highly-collectible""]",f,f
rec,opus,rec_3,10,2,Oliver Jeffers,11,0.85,"[""contemporary"", ""signed-sketched-editions"", ""display-pieces""]",f,f
rec,opus,rec_3,10,2,Sophie Blackall,12,0.85,"[""caldecott-winner"", ""signed-available"", ""sketched-signatures""]",f,f
rec,opus,rec_3,10,2,Brian Selznick,13,0.8,"[""illustrated-hybrid"", ""centerpiece""]",f,f
rec,opus,rec_3,10,2,Scholastic,14,0.75,"[""major-publisher"", ""modern""]",f,f
rec,opus,rec_3,10,2,Shaun Tan,15,0.9,"[""wordless-masterpiece"", ""coveted"", ""scarce""]",f,f
rec,opus,rec_3,10,2,Lothian Publishing,16,0.8,"[""australian-publisher"", ""premium""]",f,f
rec,opus,rec_3,10,2,David Wiesner,17,0.9,"[""multi-caldecott-winner"", ""acclaimed""]",f,f
rec,opus,rec_3,10,2,Peter Sís,18,0.8,"[""hand-signing"", ""rare-book-circuit""]",f,f
rec,opus,rec_3,10,2,Lane Smith,19,0.85,"[""design-forward"", ""landmark""]",f,f
rec,opus,rec_3,10,2,Jon Scieszka,20,0.85,"[""design-forward"", ""landmark""]",f,f
rec,opus,rec_3,10,2,Beatrix Potter,21,0.85,"[""classic"", ""prestige-editions""]",f,f
rec,opus,rec_3,10,2,Folio Society,22,0.95,"[""gold-standard"", ""premium-binding"", ""premium-presentation"", ""slipcased""]",f,f
rec,opus,rec_3,10,2,Easton Press,23,0.85,"[""leather-bound"", ""deluxe""]",f,f
rec,opus,rec_3,10,2,Robert Sabuda,24,0.9,"[""pop-up-editions"", ""signed-available"", ""display-pieces""]",f,f
rec,opus,rec_3,10,2,Books of Wonder,,0.8,"[""reliable-source"", ""authenticated"", ""nyc-based""]",f,f
rec,opus,rec_3,10,2,Politics and Prose,,0.8,"[""reliable-source"", ""authenticated""]",f,f
rec,opus,rec_3,10,2,Eric Carle Museum,,0.8,"[""reliable-source"", ""museum-shop"", ""authenticated""]",f,f
rec,opus,rec_3,10,2,Heritage Auctions,,0.8,"[""auction-house"", ""high-end""]",f,f
rec,opus,rec_3,10,2,Swann Galleries,,0.8,"[""auction-house"", ""high-end""]",f,f
rec,opus,rec_3,10,2,Brodart,,0.85,"[""protective-covers"", ""value-preserving"", ""archival""]",f,f
versus,sonnet,versus_goodnight_moon,7,0,Goodnight Moon,1,0.95,"[""calming"", ""rhythmic"", ""repetitive"", ""suitable for newborns"", ""creates nightly ritual"", ""high reread value"", ""functional"", ""reliable bedtime book"", ""exceptional day-to-day value""]",f,t
versus,sonnet,versus_goodnight_moon,7,0,The Very Hungry Caterpillar,2,0.85,"[""educational"", ""interactive"", ""die-cut holes"", ""teaches counting"", ""teaches days of the week"", ""teaches life cycle concepts"", ""physically engaging"", ""stimulating illustrations"", ""versatile"", ""interesting longer into toddlerhood""]",t,f
rec,haiku,rec_1,9,2,Pete the Cat,5,1.0,"[""funky illustrations"", ""fun rhythm""]",f,f
rec,haiku,rec_1,9,2,Facebook Marketplace,,1.0,"[""good condition books""]",f,f
perception,haiku,perception_1,8,0,Eric Carle,,0.7,"[""beautiful color work"", ""effective rhythm and repetition for toddlers""]",f,f
rec,sonnet,rec_3,9,0,Eric Carle,1,1.0,"[""bright colors"", ""iconic"", ""collage art"", ""reliable""]",f,f
rec,sonnet,rec_3,9,0,Bill Martin Jr.,2,1.0,"[""bright block colors"", ""repetitive text"", ""rhythmic""]",f,f
rec,sonnet,rec_3,9,0,Margaret Wise Brown,3,0.95,"[""soothing"", ""visually rich""]",f,f
rec,sonnet,rec_3,9,0,Eric Hill,4,0.9,"[""simple"", ""bright illustrations""]",f,f
rec,sonnet,rec_3,9,0,Hervé Tullet,5,0.9,"[""interactive"", ""engaging"", ""colorful""]",f,f
rec,sonnet,rec_3,9,0,Adam Rubin,6,0.9,"[""vivid"", ""funny""]",f,f
rec,sonnet,rec_3,9,0,Janet and Allan Ahlberg,7,0.9,"[""detailed"", ""hidden elements""]",f,f
rec,sonnet,rec_2,9,2,Goodwill,,0.7,"[""thrift"", ""affordable"", ""carries board books""]",f,f
rec,sonnet,rec_2,9,2,Amazon,,0.7,"[""warehouse deals"", ""gently used books"", ""bundles""]",f,f
rec,sonnet,rec_2,9,2,Dollar Tree,,0.8,"[""stocks children's books"", ""surprisingly good""]",f,f
rec,sonnet,rec_2,9,2,ThriftBooks.com,,0.9,"[""great condition"", ""very cheap""]",f,f
rec,haiku,rec_3,8,1,Barefoot Books,1,1.0,"[""eco-friendly materials"", ""ethical production"", ""explicitly committed""]",f,f
rec,haiku,rec_3,8,1,Greystone Books,2,1.0,"[""Canadian publisher"", ""environmental mission""]",f,f
rec,haiku,rec_3,8,1,Candlewick Press,3,1.0,"[""actively pursuing sustainable practices""]",f,f
rec,haiku,rec_3,8,1,Penguin Random House,4,1.0,"[""sustainability commitments"", ""multiple imprints""]",f,f
rec,haiku,rec_3,8,1,Chronicle Books,5,1.0,"[""environmental initiatives in production""]",f,f
rec,haiku,rec_3,8,1,Martin Jenkins,6,1.0,"[""environmental themes"", ""sustainable publishing""]",f,f
rec,haiku,rec_3,8,1,Ecos Editions,7,1.0,"[""focused on environmental content""]",f,f
rec,haiku,rec_3,8,1,FSC,,0.8,"[""certification standard"", ""sustainability verification"", ""back cover symbols""]",f,f
rec,haiku,rec_3,8,1,PEFC,,0.8,"[""certification standard"", ""sustainability verification"", ""back cover symbols""]",f,f
rec,haiku,rec_3,8,1,Goodreads,,0.7,"[""user review platform"", ""sustainability information source""]",f,f
perception,opus,perception_2,10,0,The Very Hungry Caterpillar,1,0.7,"[""universally stocked"", ""interactive design"", ""tactile pages"", ""developmentally appropriate"", ""accessible art"", ""commercially successful"", ""rare first editions highly collectible"", ""thin narrative"", ""simplistic moral""]",t,f
perception,opus,perception_2,10,0,Eric Carle,,0.8,"[""innovative"", ""influential"", ""commercially successful"", ""institutionally validated"", ""post-death collectible value appreciation"", ""established prestigious museum""]",f,f
perception,opus,perception_2,10,0,World of Eric Carle,,0.5,"[""commercial ecosystem"", ""extensively merchandised"", ""plush toys"", ""nursery décor"", ""apparel""]",f,f
perception,opus,perception_2,10,0,Goodnight Moon,,0.5,"[""adult-driven purchase"", ""ritual-based"", ""comparable purchase patterns""]",f,t
perception,opus,perception_2,10,0,"Brown Bear, Brown Bear",,0.6,"[""greater literary respect"", ""educational value""]",f,f
perception,opus,perception_2,10,0,The Tiny Seed,,0.6,"[""greater literary respect"", ""educational value""]",f,f
perception,opus,perception_2,10,0,School Library Journal,,0.5,"[""authoritative publication"", ""publishes ranked lists""]",f,f
perception,opus,perception_2,10,0,Eric Carle Museum of Picture Book Art,,0.7,"[""prestigious institution"", ""located in Amherst MA"", ""validates legacy"", ""supports collector market""]",f,f
rec,opus,rec_1,9,2,Costco,1,0.75,"[""budget-friendly"", ""warehouse club"", ""hardcover books""]",f,f
rec,opus,rec_1,9,2,Sam's Club,2,0.75,"[""budget-friendly"", ""warehouse club"", ""hardcover books""]",f,f
rec,opus,rec_1,9,2,Book Outlet,3,0.85,"[""heavily-discounted"", ""new books"", ""online"", ""bulk-friendly""]",f,f
rec,opus,rec_1,9,2,Barnes & Noble,4,0.7,"[""clearance-focused"", ""budget-friendly"", ""good finds""]",f,f
rec,haiku,rec_2,7,0,The Very Hungry Caterpillar,1,1.0,"[""tactile die-cut pages"", ""engaging"", ""long developmental span"", ""simple narrative"", ""durable""]",t,f
rec,haiku,rec_2,7,0,Goodnight Moon,2,1.0,"[""rhythmic"", ""repetitive"", ""soothing"", ""hypnotic cadence"", ""anticipatory""]",f,t
rec,haiku,rec_2,7,0,The Runaway Bunny,3,1.0,"[""emotionally reassuring"", ""repetitive structure"", ""comforting"", ""grows with child"", ""deepening meaning""]",f,f
rec,haiku,rec_2,7,0,Dear Zoo,4,1.0,"[""lift-the-flap mechanic"", ""interactive"", ""quick"", ""satisfying"", ""durable"", ""higher cost""]",f,f
rec,haiku,rec_2,7,0,Where the Wild Things Are,5,1.0,"[""narrative depth"", ""complex meaning"", ""reveals itself over time""]",f,t
rec,haiku,rec_2,7,0,The Snowy Day,6,1.0,"[""poetic"", ""simple"", ""beautiful illustrations"", ""rewarding detail""]",f,f
rec,haiku,rec_2,7,0,"Brown Bear, Brown Bear, What Do You See?",7,1.0,"[""rhythmic"", ""predictable"", ""bright colors""]",f,f
versus,haiku,versus_the_gruffalo,9,0,The Very Hungry Caterpillar,,0.8,"[""interactive"", ""bright"", ""simple"", ""tactile"", ""short"", ""durable""]",t,f
versus,haiku,versus_the_gruffalo,9,0,The Gruffalo,,0.8,"[""clever"", ""complex"", ""engaging"", ""beautiful"", ""detailed"", ""long"", ""durable""]",f,t
rec,sonnet,rec_1,7,1,Julia Donaldson,1,1.0,"[""universal endorsement"", ""timeless"", ""affordable secondhand"", ""everywhere in charity shops""]",f,f
rec,sonnet,rec_1,7,1,The Ahlbergs,2,1.0,"[""interactive"", ""engaging"", ""multiple beloved titles"", ""everywhere in charity shops"", ""great value""]",f,f
rec,sonnet,rec_1,7,1,Eric Carle,3,0.95,"[""rite of passage"", ""iconic"", ""beloved""]",f,f
rec,sonnet,rec_1,7,1,Michael Rosen,4,0.9,"[""rhythmic"", ""participatory"", ""brilliant for joining in""]",f,f
rec,sonnet,rec_1,7,1,Martin Waddell,5,0.9,"[""beautifully reassuring"", ""comforting""]",f,f
rec,sonnet,rec_1,7,1,Judith Kerr,6,0.9,"[""utterly charming"", ""engaging"", ""endlessly debated""]",f,f
rec,sonnet,rec_1,7,1,Shirley Hughes,7,0.9,"[""classic British"", ""picture book gold"", ""always in charity shops""]",f,f
rec,sonnet,rec_1,7,1,Sam McBratney,8,0.9,"[""genuine tearjerker"", ""emotional"", ""appeals to adults""]",f,f
rec,sonnet,rec_1,7,1,Margaret Wise Brown,9,0.9,"[""bedtime ritual classic"", ""timeless""]",f,f
rec,sonnet,rec_1,7,1,David McKee,10,0.85,"[""celebrates being different"", ""affirming""]",f,f
rec,sonnet,rec_1,7,1,Michael Bond,11,0.85,"[""perfect"", ""illustrated"", ""concise""]",f,f
rec,sonnet,rec_1,7,1,Fiona Watt,12,0.85,"[""touchy-feely textures"", ""tactile"", ""endlessly engaging""]",f,f
rec,sonnet,rec_1,7,1,Tana Hoban,13,0.85,"[""bold"", ""simple images"", ""high-contrast"", ""baby-friendly""]",f,f
rec,opus,rec_1,8,0,Candlewick,,0.8,"[""noticeably nicer paper stock""]",f,f
rec,opus,rec_1,8,0,Chronicle,,0.8,"[""noticeably nicer paper stock""]",f,f
rec,opus,rec_1,8,0,Phaidon,,0.8,"[""noticeably nicer paper stock""]",f,f
rec,opus,rec_1,8,0,Thriftbooks,,0.8,"[""like-new hardcovers"", ""half price""]",f,f
perception,sonnet,perception_1,10,0,Goodnight Moon,,0.3,"[""strong prose rhythm"", ""literary craft""]",f,t
versus,opus,versus_the_gruffalo,9,0,The Gruffalo,1,0.9,"[""engaging plot"", ""memorable characters"", ""rhythmic"", ""sing-song verse"", ""parent-favorite"", ""good for reading aloud"", ""long shelf life"", ""repeatable"", ""by Julia Donaldson and Axel Scheffler""]",f,t
versus,opus,versus_the_gruffalo,9,0,The Very Hungry Caterpillar,2,0.9,"[""iconic"", ""interactive"", ""die-cut holes"", ""educational"", ""sensory"", ""simple text"", ""collage illustrations"", ""perfect for youngest readers"", ""by Eric Carle""]",t,f
rec,opus,rec_3,9,0,Hervé Tullet,1,1.0,"[""interactive"", ""colorful"", ""playful"", ""endlessly re-readable"", ""reliable""]",f,f
rec,opus,rec_3,9,0,Eric Carle,2,1.0,"[""iconic"", ""colorful"", ""collage art"", ""classic"", ""reliable""]",f,f
rec,opus,rec_3,9,0,Mo Willems,3,1.0,"[""humorous"", ""interactive"", ""simple art"", ""bright"", ""reliable""]",f,f
rec,opus,rec_3,9,0,Sandra Boynton,4,1.0,"[""reliable"", ""safe bet""]",f,f
rec,opus,rec_3,9,0,Margaret Wise Brown,5,1.0,"[""classic"", ""timeless"", ""iconic""]",f,f
rec,opus,rec_3,9,0,Bill Martin Jr.,6,1.0,"[""simple"", ""rhythmic"", ""colorful""]",f,f
rec,opus,rec_3,9,0,Adam Rubin,7,1.0,"[""silly"", ""vibrant""]",f,f
rec,opus,rec_3,9,0,Christie Matheson,8,1.0,"[""interactive"", ""watercolor illustrations""]",f,f
rec,opus,rec_3,9,0,Carson Ellis,9,1.0,"[""whimsical"", ""detailed illustrations""]",f,f
rec,opus,rec_3,9,0,Divya Srinivasan,10,1.0,"[""beautiful"", ""cozy"", ""well-illustrated""]",f,f
rec,opus,rec_3,9,0,Sophie Blackall,11,1.0,"[""stunning artwork"", ""detailed storytelling""]",f,f
rec,haiku,rec_3,7,0,Margaret Wise Brown,1,1.0,"[""gentle"", ""classic""]",f,f
rec,haiku,rec_3,7,0,Eric Carle,2,1.0,"[""interactive"", ""colorful"", ""consistent quality""]",f,f
rec,haiku,rec_3,7,0,Bill Martin Jr.,3,1.0,"[""rhythmic"", ""engaging""]",f,f
rec,haiku,rec_3,7,0,Rod Campbell,4,1.0,"[""interactive"", ""lift-the-flap""]",f,f
rec,haiku,rec_3,7,0,Maurice Sendak,5,1.0,"[""imaginative"", ""storytelling""]",f,f
rec,haiku,rec_3,7,0,James Dean,6,1.0,"[""fun"", ""engaging""]",f,f
rec,haiku,rec_3,7,0,Don Freeman,7,1.0,"[""emotional depth"", ""lovely illustrations""]",f,f
rec,haiku,rec_3,7,0,Crockett Johnson,8,1.0,"[""imaginative"", ""unique""]",f,f
rec,haiku,rec_3,7,0,Roald Dahl,9,1.0,"[""respected""]",f,f
rec,haiku,rec_3,7,0,Dr. Seuss,10,1.0,"[""respected""]",f,f
rec,haiku,rec_3,7,0,Beatrix Potter,11,1.0,"[""respected""]",f,f
perception,sonnet,perception_1,5,0,The Very Hungry Caterpillar,1,0.7,"[""tactile"", ""interactive"", ""well-paced"", ""visually stimulating"", ""meaningful"", ""well-engineered"", ""not literary"", ""culturally ubiquitous"", ""merchandise-heavy""]",t,f
perception,sonnet,perception_1,5,0,Eric Carle,,0.75,"[""collage art"", ""distinctive"", ""visually stimulating"", ""bold colors"", ""well-suited to young eyes""]",f,f
